example_id,o_tract_fips,d_tract_fips,path_order,screenline_id,screenline_color,station_id,is_fhwa_station,boundary_distance_m,boundary_centroid_distance_ratio,station_x,station_y
3,24021752102,24021751801,2,24021751801__24021751903,#ff7f0e,S2007100035,False,221.6257096806324,0.07457199821678581,377576.0654128769,190632.92843722503
3,24021752102,24021751801,2,24021751801__24021751903,#ff7f0e,S2007100036,False,216.59818644661345,0.07559668631142707,377580.79310956266,190185.857508951
3,24021752102,24021751801,2,24021751801__24021751903,#ff7f0e,S2007100037,False,145.52449507912127,0.05060289671062253,377629.9339445177,190246.93254855342
3,24021752102,24021751801,2,24021751801__24021751903,#ff7f0e,S2007100038,False,148.24901149722123,0.05013236812033794,377531.12496806384,190265.73094622622
3,24021752102,24021751801,2,24021751801__24021751903,#ff7f0e,S2007100039,False,165.87822043695766,0.05631574300688758,377529.64050186967,190248.13656042994
4,24003751103,24003730204,1,24003730203__24003751103,#1f77b4,B0755,False,13.739046732550234,0.013712044179868706,434661.11387067207,165309.26368945948
4,24003751103,24003730204,2,24003730203__24003730204,#ff7f0e,B020106,False,0.3957054963588482,0.0005228084755950385,435425.79563689855,165168.27993372042
4,24003751103,24003730204,2,24003730203__24003730204,#ff7f0e,B0754,False,0.4373177082937728,0.00040672631946818964,435787.32241296786,163261.65775615556
5,24043010802,24043011100,1,24043010802__24043010900,#1f77b4,B4006,False,3.3968709224922105,0.0012293261971559166,334014.677934038,214058.69746982498
5,24043010802,24043011100,1,24043010802__24043010900,#1f77b4,S2010210057,False,31.812314247804913,0.007749930962588845,335021.5927112891,215429.66525920978
5,24043010802,24043011100,1,24043010802__24043010900,#1f77b4,S2010210058,False,18.81137438021909,0.004542357468961032,335058.4226785211,215436.5269136848
5,24043010802,24043011100,1,24043010802__24043010900,#1f77b4,S2010210059,False,95.3503316380053,0.023296469590000538,334984.82417924143,215482.18407384475
5,24043010802,24043011100,2,24043010900__24043011100,#ff7f0e,S2008210032,False,117.52180326155032,0.0429143152196518,337556.2340605676,215375.70388017208
6,24510200800,24510200500,1,24510200600__24510200800,#1f77b4,B240121,False,0.08931286622443224,0.00012727014177613268,428334.7054662497,178947.97819925824
6,24510200800,24510200500,1,24510200600__24510200800,#1f77b4,S2012241395,False,21.08634599674482,0.037048021411140615,428267.7154315912,179272.86500522943
6,24510200800,24510200500,2,24510200500__24510200600,#ff7f0e,S2012241339,False,0.17830635502198333,0.00036190004277435065,429434.66575807147,178965.1501234802
7,24005491600,24005490100,1,24005491600__24005491701,#1f77b4,B1100,False,20.289499318086186,0.03307285859826695,437688.311704914,192685.3330087149
7,24005491600,24005490100,1,24005491600__24005491701,#1f77b4,S2003030032,False,51.32959867989765,0.07988029153488846,437492.4649447418,192607.60091718734
7,24005491600,24005490100,1,24005491600__24005491701,#1f77b4,S2003030033,False,64.19821900649377,0.08917870077323449,437363.416813049,192591.5123072126
7,24005491600,24005490100,2,24005490100__24005491701,#ff7f0e,B030053,False,2.00549919699553,0.0011074794616376558,437362.10337371123,192845.40232885946
7,24005491600,24005490100,2,24005490100__24005491701,#ff7f0e,B1177,False,1.8118811684503902,0.0011151393890291611,437540.80944514764,192913.64031018142
8,24035810500,24019970200,1,24035810500__24041960100,#1f77b4,B3829,False,0.312594756950794,3.304415985164761e-05,481106.14091806044,141724.49723059792
8,24035810500,24019970200,1,24035810500__24041960100,#1f77b4,B3830,False,0.31529741287468366,3.413099563249092e-05,481435.28309370234,141650.98562686457
8,24035810500,24019970200,1,24035810500__24041960100,#1f77b4,B3831,False,0.5181370441796429,7.238080743182022e-05,488550.78799857444,140065.28149131296
8,24035810500,24019970200,1,24035810500__24041960100,#1f77b4,S2013200456,False,64.33990153734285,0.008251648502433385,490753.8182112406,139455.0270326012
8,24035810500,24019970200,2,24011955500__24019970200,#ff7f0e,B1437,False,2.058432462106282,0.0004172417642627999,498073.80952875374,114643.42654486286
