scenario,activity_pair,vehicle_trips,share
synthetic,2 -> 18,273.99999996,0.0012568553662981518
synthetic,11 -> 11,260.4,0.0011944713044956844
synthetic,10 -> 7,249.99999996,0.0011467658451464757
synthetic,10 -> 8,249.99999996,0.0011467658451464757
synthetic,7 -> 16,245.99999988,0.0011284175912542314
synthetic,12 -> 5,243.99999996,0.0011192434648585566
synthetic,4 -> 16,243.99999996,0.0011192434648585566
synthetic,9 -> 16,229.99999992,0.0010550245773365966
synthetic,11 -> 10,228.0,0.0010458504509409218
synthetic,13 -> 8,228.0,0.0010458504509409218
synthetic,9 -> 2,228.0,0.0010458504509409218
synthetic,16 -> 9,220.99999992,0.001013741006904718
synthetic,14 -> 5,219.99999996,0.0010091539437068807
synthetic,13 -> 7,217.99999992,0.0009999798167607584
synthetic,13 -> 2,216.0,0.0009908056903650839
synthetic,10 -> 16,210.39999996,0.0009651181352462103
synthetic,5 -> 18,198.0,0.0009082385495013269
synthetic,5 -> 10,189.99999996,0.0008715420422672857
synthetic,2 -> 14,185.99999988,0.0008531937883750413
synthetic,11 -> 2,183.0,0.0008394325987815294
synthetic,13 -> 13,177.0,0.0008119102184936105
synthetic,4 -> 2,168.0,0.0007706266480617319
synthetic,9 -> 9,165.99999996,0.0007614525211156098
synthetic,18 -> 18,162.0,0.000743104267773813
synthetic,18 -> 7,161.00000004,0.0007385172045759757
synthetic,4 -> 7,160.99999992,0.000738517204025528
synthetic,6 -> 6,150.0,0.000688059507197975
synthetic,7 -> 10,150.0,0.000688059507197975
synthetic,2 -> 4,138.0,0.0006330147466221369
synthetic,5 -> 13,132.0,0.000605492366334218
synthetic,5 -> 9,132.0,0.000605492366334218
synthetic,4 -> 10,129.99999996,0.0005963182393880957
synthetic,4 -> 6,126.0,0.000577969986046299
synthetic,14 -> 7,125.79999984,0.0005770525726361049
synthetic,16 -> 13,120.99999996,0.0005550346689562173
synthetic,3 -> 10,120.0,0.00055044760575838
synthetic,7 -> 8,120.0,0.00055044760575838
synthetic,12 -> 7,117.99999996,0.0005412734788122577
synthetic,3 -> 16,117.99999996,0.0005412734788122577
synthetic,18 -> 9,115.99999992,0.0005320993518661356
synthetic,16 -> 12,111.0,0.0005091640353265015
synthetic,8 -> 10,108.0,0.0004954028451825419
synthetic,8 -> 16,108.0,0.0004954028451825419
synthetic,16 -> 14,105.99999984,0.0004862287176859722
synthetic,16 -> 4,103.99999992,0.0004770545912902975
synthetic,7 -> 9,102.0,0.00046788046489462296
synthetic,16 -> 18,99.99999996,0.00045870633794850075
synthetic,2 -> 3,96.0,0.000440358084606704
synthetic,14 -> 16,95.99999988,0.0004403580840562564
synthetic,7 -> 13,93.99999996,0.00043118395766058177
synthetic,13 -> 16,90.0,0.00041283570431878495
synthetic,2 -> 12,90.0,0.00041283570431878495
synthetic,4 -> 8,90.0,0.00041283570431878495
synthetic,5 -> 3,90.0,0.00041283570431878495
synthetic,6 -> 9,90.0,0.00041283570431878495
synthetic,4 -> 4,87.99999996,0.00040366157737266274
synthetic,6 -> 10,87.99999996,0.00040366157737266274
synthetic,11 -> 18,84.0,0.00038531332403086597
