scenario,activity_pair,vehicle_trips,share
synthetic,11 -> 10,30.0,0.00015794435278111178
synthetic,12 -> 10,30.0,0.00015794435278111178
synthetic,14 -> 18,30.0,0.00015794435278111178
synthetic,18 -> 13,30.0,0.00015794435278111178
synthetic,18 -> 4,30.0,0.00015794435278111178
synthetic,3 -> 10,30.0,0.00015794435278111178
synthetic,9 -> 18,30.0,0.00015794435278111178
synthetic,10 -> 12,27.99999996,0.00014741472905177854
synthetic,7 -> 15,27.99999996,0.00014741472905177854
synthetic,7 -> 18,27.99999996,0.00014741472905177854
synthetic,7 -> 6,27.99999996,0.00014741472905177854
synthetic,10 -> 13,24.0,0.00012635548222488945
synthetic,11 -> 18,24.0,0.00012635548222488945
synthetic,11 -> 9,24.0,0.00012635548222488945
synthetic,12 -> 6,24.0,0.00012635548222488945
synthetic,14 -> 2,24.0,0.00012635548222488945
synthetic,3 -> 12,24.0,0.00012635548222488945
synthetic,3 -> 2,24.0,0.00012635548222488945
synthetic,4 -> 13,24.0,0.00012635548222488945
synthetic,6 -> 12,24.0,0.00012635548222488945
synthetic,6 -> 18,24.0,0.00012635548222488945
synthetic,6 -> 9,24.0,0.00012635548222488945
synthetic,8 -> 11,24.0,0.00012635548222488945
synthetic,8 -> 12,24.0,0.00012635548222488945
synthetic,9 -> 12,24.0,0.00012635548222488945
synthetic,14 -> 7,21.99999996,0.00011582585849555618
synthetic,8 -> 6,21.99999996,0.00011582585849555618
synthetic,3 -> 11,20.4,0.000107402159891156
synthetic,11 -> 14,18.0,9.476661166866707e-05
synthetic,11 -> 4,18.0,9.476661166866707e-05
synthetic,12 -> 4,18.0,9.476661166866707e-05
synthetic,14 -> 11,18.0,9.476661166866707e-05
synthetic,4 -> 9,18.0,9.476661166866707e-05
synthetic,6 -> 8,18.0,9.476661166866707e-05
synthetic,8 -> 7,18.0,9.476661166866707e-05
synthetic,10 -> 11,15.99999996,8.423698793933381e-05
synthetic,15 -> 16,15.99999996,8.423698793933381e-05
synthetic,9 -> 14,15.99999996,8.423698793933381e-05
synthetic,15 -> 8,15.0,7.897217639055589e-05
synthetic,10 -> 15,12.0,6.317774111244472e-05
synthetic,10 -> 3,12.0,6.317774111244472e-05
synthetic,11 -> 13,12.0,6.317774111244472e-05
synthetic,13 -> 10,12.0,6.317774111244472e-05
synthetic,13 -> 15,12.0,6.317774111244472e-05
synthetic,13 -> 9,12.0,6.317774111244472e-05
synthetic,14 -> 10,12.0,6.317774111244472e-05
synthetic,14 -> 3,12.0,6.317774111244472e-05
synthetic,15 -> 11,12.0,6.317774111244472e-05
synthetic,15 -> 2,12.0,6.317774111244472e-05
synthetic,17 -> 17,12.0,6.317774111244472e-05
synthetic,3 -> 14,12.0,6.317774111244472e-05
synthetic,3 -> 17,12.0,6.317774111244472e-05
synthetic,3 -> 9,12.0,6.317774111244472e-05
synthetic,4 -> 14,12.0,6.317774111244472e-05
synthetic,4 -> 18,12.0,6.317774111244472e-05
synthetic,6 -> 14,12.0,6.317774111244472e-05
synthetic,6 -> 4,12.0,6.317774111244472e-05
synthetic,7 -> 12,12.0,6.317774111244472e-05
synthetic,8 -> 4,12.0,6.317774111244472e-05
synthetic,9 -> 13,12.0,6.317774111244472e-05
synthetic,9 -> 3,12.0,6.317774111244472e-05
synthetic,9 -> 4,12.0,6.317774111244472e-05
synthetic,11 -> 12,9.99999996,5.264811738311146e-05
synthetic,16 -> 15,9.99999996,5.264811738311146e-05
synthetic,14 -> 12,6.0,3.158887055622236e-05
synthetic,15 -> 5,6.0,3.158887055622236e-05
synthetic,15 -> 6,6.0,3.158887055622236e-05
synthetic,15 -> 7,6.0,3.158887055622236e-05
synthetic,4 -> 15,6.0,3.158887055622236e-05
synthetic,6 -> 13,6.0,3.158887055622236e-05
synthetic,6 -> 15,6.0,3.158887055622236e-05
synthetic,8 -> 14,6.0,3.158887055622236e-05
synthetic,3 -> 15,5.4,2.8429983500600125e-05
synthetic,5 -> 4,3.99999996,2.10592468268891e-05
synthetic,6 -> 7,3.99999996,2.10592468268891e-05
synthetic,8 -> 15,3.99999996,2.10592468268891e-05
